Order ID,Customer ID,Customer Name,Region,State,City,Category,Product Name,Quantity,Unit Price,Discount %,Total Sales,Sales Date,Payment Method,Delivery Status,Customer Segment
O10001,C275,Tim Cook,East,Jharkhand,Jamshedpur,Accessories,Headset,31,15319.18,8.31,435430.84,2026-09-10,Debit Card,Pending,Home Office
O10002,C328,Anna Jones,North,Uttar Pradesh,Noida,Electronics,Mouse,3,11431.37,9.5,31036.17,2026-12-30,Debit Card,Delivered,Corporate
O10003,C345,Michelle Snyder,West,Rajasthan,Jaipur,Sports,Cricket Bat,34,2489.44,0.76,83997.69,2026-09-23,UPI,Delivered,Corporate
O10004,C014,Christopher Crawford,West,Gujarat,Vadodara,Furniture,Cabinet,43,24340.87,18.26,855537.77,2026-07-02,Debit Card,Delivered,Consumer
O10005,C268,Sherri Bishop,West,Gujarat,Vadodara,Electronics,Laptop,44,21114.57,4.57,886583.9,2026-01-14,Cash,Cancelled,Consumer
O10006,C188,Lisa Burton,South,Andhra Pradesh,Visakhapatnam,Clothing,Jacket,46,40747.51,2.04,1836148.0,2026-10-01,Net Banking,Delivered,Home Office
O10007,C305,Robert Harper,East,Odisha,Cuttack,Sports,Tennis Racket,40,3400.94,7.76,125481.08,2026-10-25,Cash,Pending,Corporate
O10008,C398,Grace Wells,South,Karnataka,Mangalore,Electronics,Printer,1,2922.33,7.5,2703.16,2026-04-23,Debit Card,Delivered,Consumer
O10009,C125,Lisa Martin,East,Bihar,Gaya,Electronics,Printer,19,47218.26,4.84,853725.03,2026-01-11,Cash,Delivered,Consumer
O10010,C010,Glenn Ward,West,Maharashtra,Nagpur,Electronics,Mouse,30,24319.16,2.96,707979.39,2026-08-14,Debit Card,Delivered,Home Office
O10011,C146,Alex Campbell,North,Uttar Pradesh,Lucknow,Furniture,Cabinet,29,31198.6,10.31,811478.71,2026-03-10,Net Banking,Delivered,Corporate
O10012,C068,Jill Patel,West,Maharashtra,Nagpur,Accessories,Smartwatch,25,9814.2,0.98,242950.52,2026-04-24,Net Banking,Delivered,Home Office
O10013,C349,Shelly Jones,West,Rajasthan,Jodhpur,Sports,Tennis Racket,29,42344.08,18.47,1001170.72,2026-08-11,Cash,Delivered,Home Office
O10014,C146,Patricia Benson,South,Karnataka,Mangalore,Furniture,Chair,37,16330.84,3.24,584663.67,2026-02-23,Debit Card,Delivered,Corporate
O10015,C153,Brandon Henderson,West,Goa,Margao,Appliances,Microwave,8,28232.05,1.93,221497.37,2026-09-12,Credit Card,Delivered,Consumer
